Rho (density): 0.300000
Map width/height: 3000
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299930
Number of changes on loop 1 is 6084623
Number of changes on loop 2 is 5974141
Number of changes on loop 3 is 5955792
Number of changes on loop 4 is 5959455
Number of changes on loop 5 is 5972736
Number of changes on loop 6 is 5991294
Number of changes on loop 7 is 6011376
Number of changes on loop 8 is 6029734
Number of changes on loop 9 is 6046799
Number of changes on loop 10 is 6062810
Number of changes on loop 11 is 6075818
Number of changes on loop 12 is 6087530
Number of changes on loop 13 is 6098209
Number of changes on loop 14 is 6107232
Number of changes on loop 15 is 6114864
Number of changes on loop 16 is 6121371
Number of changes on loop 17 is 6126746
Number of changes on loop 18 is 6131192
Number of changes on loop 19 is 6134667
Number of changes on loop 20 is 6138356
Number of changes on loop 21 is 6140859
Number of changes on loop 22 is 6142417
Number of changes on loop 23 is 6144166
Number of changes on loop 24 is 6145304
Number of changes on loop 25 is 6146089
Number of changes on loop 26 is 6147255
Number of changes on loop 27 is 6147322
Number of changes on loop 28 is 6147464
Number of changes on loop 29 is 6147542
Number of changes on loop 30 is 6147631
Number of changes on loop 31 is 6147508
Number of changes on loop 32 is 6147356
Number of changes on loop 33 is 6147004
Number of changes on loop 34 is 6146931
Number of changes on loop 35 is 6146484
Number of changes on loop 36 is 6145938
Number of changes on loop 37 is 6145964
Number of changes on loop 38 is 6145300
Number of changes on loop 39 is 6144517
Number of changes on loop 40 is 6144322
Number of changes on loop 41 is 6143592
Number of changes on loop 42 is 6143229
Number of changes on loop 43 is 6142666
Number of changes on loop 44 is 6141766
Number of changes on loop 45 is 6140879
Number of changes on loop 46 is 6140101
Number of changes on loop 47 is 6139055
Number of changes on loop 48 is 6138103
Number of changes on loop 49 is 6137537
Number of changes on loop 50 is 6137001
Number of changes on loop 51 is 6135947
Number of changes on loop 52 is 6135270
Number of changes on loop 53 is 6134260
Number of changes on loop 54 is 6133085
Number of changes on loop 55 is 6132414
Number of changes on loop 56 is 6131465
Number of changes on loop 57 is 6130537
Number of changes on loop 58 is 6129476
Number of changes on loop 59 is 6128695
Number of changes on loop 60 is 6127632
Number of changes on loop 61 is 6126767
Number of changes on loop 62 is 6126401
Number of changes on loop 63 is 6124595
Number of changes on loop 64 is 6123230
Number of changes on loop 65 is 6122702
Number of changes on loop 66 is 6121547
Number of changes on loop 67 is 6120707
Number of changes on loop 68 is 6119706
Number of changes on loop 69 is 6118950
Number of changes on loop 70 is 6118050
Number of changes on loop 71 is 6117383
Number of changes on loop 72 is 6116417
Number of changes on loop 73 is 6115119
Number of changes on loop 74 is 6114114
Number of changes on loop 75 is 6112933
Number of changes on loop 76 is 6111850
Number of changes on loop 77 is 6111243
Number of changes on loop 78 is 6110375
Number of changes on loop 79 is 6109685
Number of changes on loop 80 is 6108428
Number of changes on loop 81 is 6107135
Number of changes on loop 82 is 6106068
Number of changes on loop 83 is 6105042
Number of changes on loop 84 is 6104038
