Rho (density): 0.300000
Map width/height: 200
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.294800
Number of changes on loop 1 is 27215
Number of changes on loop 2 is 26624
Number of changes on loop 3 is 26450
Number of changes on loop 4 is 26347
Number of changes on loop 5 is 26388
Number of changes on loop 6 is 26395
Number of changes on loop 7 is 26371
Number of changes on loop 8 is 26451
Number of changes on loop 9 is 26497
Number of changes on loop 10 is 26407
Number of changes on loop 11 is 26374
Number of changes on loop 12 is 26394
Number of changes on loop 13 is 26426
Number of changes on loop 14 is 26477
Number of changes on loop 15 is 26489
Number of changes on loop 16 is 26408
Number of changes on loop 17 is 26434
Number of changes on loop 18 is 26367
Number of changes on loop 19 is 26349
Number of changes on loop 20 is 26312
Number of changes on loop 21 is 26234
Number of changes on loop 22 is 26141
Number of changes on loop 23 is 26125
Number of changes on loop 24 is 26115
Number of changes on loop 25 is 26011
Number of changes on loop 26 is 25957
Number of changes on loop 27 is 25919
Number of changes on loop 28 is 25892
Number of changes on loop 29 is 25849
Number of changes on loop 30 is 25754
Number of changes on loop 31 is 25741
Number of changes on loop 32 is 25634
Number of changes on loop 33 is 25577
Number of changes on loop 34 is 25588
Number of changes on loop 35 is 25529
Number of changes on loop 36 is 25476
Number of changes on loop 37 is 25399
Number of changes on loop 38 is 25284
Number of changes on loop 39 is 25154
Number of changes on loop 40 is 25120
Number of changes on loop 41 is 24952
Number of changes on loop 42 is 24887
Number of changes on loop 43 is 24931
Number of changes on loop 44 is 24826
Number of changes on loop 45 is 24769
Number of changes on loop 46 is 24707
Number of changes on loop 47 is 24667
Number of changes on loop 48 is 24635
Number of changes on loop 49 is 24553
Number of changes on loop 50 is 24491
Number of changes on loop 51 is 24408
Number of changes on loop 52 is 24342
Number of changes on loop 53 is 24233
Number of changes on loop 54 is 24157
Number of changes on loop 55 is 24153
Number of changes on loop 56 is 23995
Number of changes on loop 57 is 24015
Number of changes on loop 58 is 23928
Number of changes on loop 59 is 23773
Number of changes on loop 60 is 23717
Number of changes on loop 61 is 23655
Number of changes on loop 62 is 23532
Number of changes on loop 63 is 23502
Number of changes on loop 64 is 23469
Number of changes on loop 65 is 23409
Number of changes on loop 66 is 23332
Number of changes on loop 67 is 23243
Number of changes on loop 68 is 23193
Number of changes on loop 69 is 23081
Number of changes on loop 70 is 22967
Number of changes on loop 71 is 22879
Number of changes on loop 72 is 22835
Number of changes on loop 73 is 22693
Number of changes on loop 74 is 22443
Number of changes on loop 75 is 22477
Number of changes on loop 76 is 22386
