Rho (density): 0.300000
Map width/height: 1500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.300108
Number of changes on loop 184 is 1454212
Number of changes on loop 185 is 1453695
Number of changes on loop 186 is 1453402
Number of changes on loop 187 is 1452865
Number of changes on loop 188 is 1452235
Number of changes on loop 189 is 1451926
Number of changes on loop 190 is 1450873
Number of changes on loop 191 is 1450287
Number of changes on loop 192 is 1449211
Number of changes on loop 193 is 1448798
Number of changes on loop 194 is 1448422
Number of changes on loop 195 is 1447829
Number of changes on loop 196 is 1447540
Number of changes on loop 197 is 1447051
Number of changes on loop 198 is 1446492
Number of changes on loop 199 is 1445594
Number of changes on loop 200 is 1445400
Number of changes on loop 201 is 1444728
Number of changes on loop 202 is 1444585
Number of changes on loop 203 is 1444492
Number of changes on loop 204 is 1443761
Number of changes on loop 205 is 1443414
Number of changes on loop 206 is 1442668
Number of changes on loop 207 is 1442227
Number of changes on loop 208 is 1441400
Number of changes on loop 209 is 1440692
Number of changes on loop 210 is 1440194
Number of changes on loop 211 is 1439806
Number of changes on loop 212 is 1439303
Number of changes on loop 213 is 1438539
Number of changes on loop 214 is 1437802
Number of changes on loop 215 is 1437292
Number of changes on loop 216 is 1436737
Number of changes on loop 217 is 1436299
Number of changes on loop 218 is 1435591
Number of changes on loop 219 is 1435670
Number of changes on loop 220 is 1435035
Number of changes on loop 221 is 1434509
Number of changes on loop 222 is 1433907
Number of changes on loop 223 is 1433904
Number of changes on loop 224 is 1433437
Number of changes on loop 225 is 1432502
Number of changes on loop 226 is 1431569
Number of changes on loop 227 is 1431061
Number of changes on loop 228 is 1430830
Number of changes on loop 229 is 1430287
Number of changes on loop 230 is 1429800
Number of changes on loop 231 is 1428912
Number of changes on loop 232 is 1428049
Number of changes on loop 233 is 1427646
Number of changes on loop 234 is 1427068
Number of changes on loop 235 is 1427034
Number of changes on loop 236 is 1426559
Number of changes on loop 237 is 1425668
Number of changes on loop 238 is 1424978
Number of changes on loop 239 is 1424378
Number of changes on loop 240 is 1423718
Number of changes on loop 241 is 1423087
Number of changes on loop 242 is 1422436
Number of changes on loop 243 is 1421684
Number of changes on loop 244 is 1420466
Number of changes on loop 245 is 1420199
Number of changes on loop 246 is 1420151
Number of changes on loop 247 is 1420022
Number of changes on loop 248 is 1419040
Number of changes on loop 249 is 1418366
Number of changes on loop 250 is 1417999
Number of changes on loop 251 is 1417962
Number of changes on loop 252 is 1417526
Number of changes on loop 253 is 1416696
Number of changes on loop 254 is 1416134
Number of changes on loop 255 is 1415416
Number of changes on loop 256 is 1415051
Number of changes on loop 257 is 1414242
Number of changes on loop 258 is 1413629
Number of changes on loop 259 is 1413403
Number of changes on loop 260 is 1412658
Number of changes on loop 261 is 1412028
Number of changes on loop 262 is 1411742
Number of changes on loop 263 is 1410985
Number of changes on loop 264 is 1410441
Number of changes on loop 265 is 1410121
Number of changes on loop 266 is 1409871
Number of changes on loop 267 is 1409288
Number of changes on loop 268 is 1408384
Number of changes on loop 269 is 1407613
Number of changes on loop 270 is 1406825
Number of changes on loop 271 is 1407012
Number of changes on loop 272 is 1406366
Number of changes on loop 273 is 1406046
Number of changes on loop 274 is 1404774
Number of changes on loop 275 is 1403842
Number of changes on loop 276 is 1402668
Number of changes on loop 277 is 1402135
Number of changes on loop 278 is 1401912
Number of changes on loop 279 is 1401416
Number of changes on loop 280 is 1401104
Number of changes on loop 281 is 1400627
Number of changes on loop 282 is 1400055
Number of changes on loop 283 is 1399643
Number of changes on loop 284 is 1399145
Number of changes on loop 285 is 1398411
Number of changes on loop 286 is 1397865
Number of changes on loop 287 is 1397855
Number of changes on loop 288 is 1396939
Number of changes on loop 289 is 1396607
Number of changes on loop 290 is 1395355
Number of changes on loop 291 is 1395668
Number of changes on loop 292 is 1395593
Number of changes on loop 293 is 1394788
Number of changes on loop 294 is 1393688
Number of changes on loop 295 is 1392809
Number of changes on loop 296 is 1392386
Number of changes on loop 297 is 1391989
Number of changes on loop 298 is 1391386
Number of changes on loop 299 is 1390501
Number of changes on loop 300 is 1389408
Number of changes on loop 301 is 1388797
Number of changes on loop 302 is 1388154
Number of changes on loop 303 is 1387856
Number of changes on loop 304 is 1387471
Number of changes on loop 305 is 1387447
Number of changes on loop 306 is 1387102
Number of changes on loop 307 is 1386096
Number of changes on loop 308 is 1385664
Number of changes on loop 309 is 1385474
Number of changes on loop 310 is 1384804
Number of changes on loop 311 is 1384115
Number of changes on loop 312 is 1383563
Number of changes on loop 313 is 1383420
Number of changes on loop 314 is 1382414
Number of changes on loop 315 is 1381447
Number of changes on loop 316 is 1380854
Number of changes on loop 317 is 1379883
Number of changes on loop 318 is 1379225
Number of changes on loop 319 is 1378395
Number of changes on loop 320 is 1377735
Number of changes on loop 321 is 1376781
Number of changes on loop 322 is 1376433
Number of changes on loop 323 is 1376209
Number of changes on loop 324 is 1376082
Number of changes on loop 325 is 1376115
Number of changes on loop 326 is 1375137
Number of changes on loop 327 is 1374048
Number of changes on loop 328 is 1373380
Number of changes on loop 329 is 1372781
Number of changes on loop 330 is 1372238
Number of changes on loop 331 is 1371729
Number of changes on loop 332 is 1371565
Number of changes on loop 333 is 1370992
Number of changes on loop 334 is 1370224
Number of changes on loop 335 is 1369689
Number of changes on loop 336 is 1369145
Number of changes on loop 337 is 1368408
Number of changes on loop 338 is 1367529
Number of changes on loop 339 is 1367118
Number of changes on loop 340 is 1366222
Number of changes on loop 341 is 1365727
Number of changes on loop 342 is 1364914
Number of changes on loop 343 is 1364236
Number of changes on loop 344 is 1364346
Number of changes on loop 345 is 1363896
Number of changes on loop 346 is 1363605
Number of changes on loop 347 is 1362805
Number of changes on loop 348 is 1362083
Number of changes on loop 349 is 1361507
