Rho (density): 0.300000
Map width/height: 500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299644
Number of changes on loop 1 is 169041
Number of changes on loop 2 is 165819
Number of changes on loop 3 is 165401
Number of changes on loop 4 is 165133
Number of changes on loop 5 is 165355
Number of changes on loop 6 is 165907
Number of changes on loop 7 is 166256
Number of changes on loop 8 is 166658
Number of changes on loop 9 is 166922
Number of changes on loop 10 is 167192
Number of changes on loop 11 is 167367
Number of changes on loop 12 is 167675
Number of changes on loop 13 is 167843
Number of changes on loop 14 is 167960
Number of changes on loop 15 is 168007
Number of changes on loop 16 is 168143
Number of changes on loop 17 is 168090
Number of changes on loop 18 is 168018
Number of changes on loop 19 is 167944
Number of changes on loop 20 is 167921
Number of changes on loop 21 is 167742
Number of changes on loop 22 is 167608
Number of changes on loop 23 is 167482
Number of changes on loop 24 is 167490
Number of changes on loop 25 is 167360
Number of changes on loop 26 is 167294
Number of changes on loop 27 is 167100
Number of changes on loop 28 is 167018
Number of changes on loop 29 is 166852
Number of changes on loop 30 is 166673
Number of changes on loop 31 is 166424
Number of changes on loop 32 is 166305
Number of changes on loop 33 is 165975
Number of changes on loop 34 is 165721
Number of changes on loop 35 is 165535
Number of changes on loop 36 is 165314
Number of changes on loop 37 is 165351
Number of changes on loop 38 is 165293
Number of changes on loop 39 is 165190
Number of changes on loop 40 is 164920
Number of changes on loop 41 is 164784
Number of changes on loop 42 is 164564
Number of changes on loop 43 is 164323
Number of changes on loop 44 is 164163
Number of changes on loop 45 is 164247
Number of changes on loop 46 is 164113
Number of changes on loop 47 is 163985
Number of changes on loop 48 is 163759
Number of changes on loop 49 is 163691
Number of changes on loop 50 is 163618
Number of changes on loop 51 is 163692
Number of changes on loop 52 is 163333
Number of changes on loop 53 is 163251
Number of changes on loop 54 is 163143
Number of changes on loop 55 is 163073
Number of changes on loop 56 is 162698
Number of changes on loop 57 is 162499
Number of changes on loop 58 is 162510
Number of changes on loop 59 is 162448
Number of changes on loop 60 is 162023
Number of changes on loop 61 is 161809
Number of changes on loop 62 is 161661
Number of changes on loop 63 is 161460
Number of changes on loop 64 is 161359
Number of changes on loop 65 is 161179
Number of changes on loop 66 is 160976
Number of changes on loop 67 is 160885
Number of changes on loop 68 is 160712
Number of changes on loop 69 is 160635
Number of changes on loop 70 is 160540
Number of changes on loop 71 is 160196
Number of changes on loop 72 is 159964
Number of changes on loop 73 is 159646
Number of changes on loop 74 is 159503
Number of changes on loop 75 is 159637
Number of changes on loop 76 is 159392
Number of changes on loop 77 is 159419
Number of changes on loop 78 is 159462
Number of changes on loop 79 is 159153
Number of changes on loop 80 is 158867
Number of changes on loop 81 is 158725
Number of changes on loop 82 is 158547
Number of changes on loop 83 is 158372
Number of changes on loop 84 is 158308
Number of changes on loop 85 is 158078
Number of changes on loop 86 is 157929
Number of changes on loop 87 is 157647
Number of changes on loop 88 is 157268
Number of changes on loop 89 is 157231
Number of changes on loop 90 is 157160
Number of changes on loop 91 is 156925
Number of changes on loop 92 is 156834
Number of changes on loop 93 is 156684
Number of changes on loop 94 is 156571
Number of changes on loop 95 is 156444
Number of changes on loop 96 is 156239
Number of changes on loop 97 is 156011
Number of changes on loop 98 is 155787
Number of changes on loop 99 is 155766
Number of changes on loop 100 is 155586
Number of changes on loop 101 is 155370
Number of changes on loop 102 is 154976
Number of changes on loop 103 is 154760
Number of changes on loop 104 is 154543
Number of changes on loop 105 is 154404
Number of changes on loop 106 is 154331
Number of changes on loop 107 is 154047
Number of changes on loop 108 is 153794
Number of changes on loop 109 is 153699
Number of changes on loop 110 is 153692
Number of changes on loop 111 is 153482
Number of changes on loop 112 is 153451
Number of changes on loop 113 is 153036
Number of changes on loop 114 is 152779
Number of changes on loop 115 is 152586
Number of changes on loop 116 is 152413
Number of changes on loop 117 is 152052
Number of changes on loop 118 is 152061
Number of changes on loop 119 is 152209
Number of changes on loop 120 is 152060
Number of changes on loop 121 is 151661
Number of changes on loop 122 is 151398
Number of changes on loop 123 is 151167
Number of changes on loop 124 is 151035
Number of changes on loop 125 is 150744
