Rho (density): 0.300000
Map width/height: 2000
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299971
Number of changes on loop 1 is 2703778
Number of changes on loop 2 is 2654511
Number of changes on loop 3 is 2646479
Number of changes on loop 4 is 2648910
Number of changes on loop 5 is 2654975
Number of changes on loop 6 is 2662217
Number of changes on loop 7 is 2669949
Number of changes on loop 8 is 2678332
Number of changes on loop 9 is 2685699
Number of changes on loop 10 is 2692542
Number of changes on loop 11 is 2698017
Number of changes on loop 12 is 2702261
Number of changes on loop 13 is 2706633
Number of changes on loop 14 is 2710893
Number of changes on loop 15 is 2714175
Number of changes on loop 16 is 2716659
Number of changes on loop 17 is 2718710
Number of changes on loop 18 is 2720315
Number of changes on loop 19 is 2721719
Number of changes on loop 20 is 2723240
Number of changes on loop 21 is 2724265
Number of changes on loop 22 is 2725091
Number of changes on loop 23 is 2725795
Number of changes on loop 24 is 2725967
Number of changes on loop 25 is 2726052
Number of changes on loop 26 is 2726342
Number of changes on loop 27 is 2726243
Number of changes on loop 28 is 2726438
Number of changes on loop 29 is 2726215
Number of changes on loop 30 is 2726129
Number of changes on loop 31 is 2725782
Number of changes on loop 32 is 2725077
Number of changes on loop 33 is 2724912
Number of changes on loop 34 is 2724061
Number of changes on loop 35 is 2724052
Number of changes on loop 36 is 2723515
Number of changes on loop 37 is 2723075
Number of changes on loop 38 is 2722307
Number of changes on loop 39 is 2721928
Number of changes on loop 40 is 2721696
Number of changes on loop 41 is 2721222
Number of changes on loop 42 is 2720836
Number of changes on loop 43 is 2720131
Number of changes on loop 44 is 2719779
Number of changes on loop 45 is 2718862
Number of changes on loop 46 is 2718097
Number of changes on loop 47 is 2717942
Number of changes on loop 48 is 2717151
Number of changes on loop 49 is 2716906
Number of changes on loop 50 is 2716528
Number of changes on loop 51 is 2716094
Number of changes on loop 52 is 2715455
Number of changes on loop 53 is 2714743
Number of changes on loop 54 is 2714290
Number of changes on loop 55 is 2713589
Number of changes on loop 56 is 2713276
Number of changes on loop 57 is 2712781
Number of changes on loop 58 is 2712124
Number of changes on loop 59 is 2711510
Number of changes on loop 60 is 2710602
Number of changes on loop 61 is 2709976
Number of changes on loop 62 is 2709342
Number of changes on loop 63 is 2708900
Number of changes on loop 64 is 2708327
Number of changes on loop 65 is 2707790
Number of changes on loop 66 is 2706808
Number of changes on loop 67 is 2706484
Number of changes on loop 68 is 2705886
Number of changes on loop 69 is 2705224
Number of changes on loop 70 is 2704494
Number of changes on loop 71 is 2704230
Number of changes on loop 72 is 2703339
Number of changes on loop 73 is 2702682
Number of changes on loop 74 is 2702249
Number of changes on loop 75 is 2701583
Number of changes on loop 76 is 2700339
Number of changes on loop 77 is 2699938
Number of changes on loop 78 is 2699561
Number of changes on loop 79 is 2698803
Number of changes on loop 80 is 2697895
Number of changes on loop 81 is 2697615
Number of changes on loop 82 is 2697243
Number of changes on loop 83 is 2696261
Number of changes on loop 84 is 2696095
Number of changes on loop 85 is 2695130
Number of changes on loop 86 is 2694358
Number of changes on loop 87 is 2693829
Number of changes on loop 88 is 2693208
Number of changes on loop 89 is 2692860
Number of changes on loop 90 is 2692249
Number of changes on loop 91 is 2691293
Number of changes on loop 92 is 2690814
Number of changes on loop 93 is 2690070
Number of changes on loop 94 is 2689297
Number of changes on loop 95 is 2688643
Number of changes on loop 96 is 2688188
Number of changes on loop 97 is 2686956
Number of changes on loop 98 is 2686236
Number of changes on loop 99 is 2685681
Number of changes on loop 100 is 2684789
Number of changes on loop 101 is 2684532
Number of changes on loop 102 is 2683988
Number of changes on loop 103 is 2683089
Number of changes on loop 104 is 2682278
Number of changes on loop 105 is 2681622
Number of changes on loop 106 is 2680842
Number of changes on loop 107 is 2680520
Number of changes on loop 108 is 2679632
Number of changes on loop 109 is 2678869
Number of changes on loop 110 is 2678232
Number of changes on loop 111 is 2677366
Number of changes on loop 112 is 2676930
Number of changes on loop 113 is 2676312
Number of changes on loop 114 is 2675406
Number of changes on loop 115 is 2675060
Number of changes on loop 116 is 2674599
Number of changes on loop 117 is 2673991
Number of changes on loop 118 is 2672991
Number of changes on loop 119 is 2672208
Number of changes on loop 120 is 2671696
Number of changes on loop 121 is 2670862
Number of changes on loop 122 is 2670364
Number of changes on loop 123 is 2669877
Number of changes on loop 124 is 2668439
Number of changes on loop 125 is 2668421
Number of changes on loop 126 is 2667691
Number of changes on loop 127 is 2666909
Number of changes on loop 128 is 2666043
Number of changes on loop 129 is 2665232
Number of changes on loop 130 is 2664428
Number of changes on loop 131 is 2663601
Number of changes on loop 132 is 2663095
Number of changes on loop 133 is 2662616
Number of changes on loop 134 is 2662339
Number of changes on loop 135 is 2661656
Number of changes on loop 136 is 2660542
Number of changes on loop 137 is 2659844
Number of changes on loop 138 is 2658937
Number of changes on loop 139 is 2658304
Number of changes on loop 140 is 2657651
Number of changes on loop 141 is 2656796
Number of changes on loop 142 is 2656481
Number of changes on loop 143 is 2655740
Number of changes on loop 144 is 2655078
Number of changes on loop 145 is 2654382
Number of changes on loop 146 is 2653810
Number of changes on loop 147 is 2653069
Number of changes on loop 148 is 2652455
Number of changes on loop 149 is 2651733
Number of changes on loop 150 is 2650778
Number of changes on loop 151 is 2650247
Number of changes on loop 152 is 2649613
Number of changes on loop 153 is 2648851
Number of changes on loop 154 is 2648242
Number of changes on loop 155 is 2646982
Number of changes on loop 156 is 2646030
Number of changes on loop 157 is 2645678
Number of changes on loop 158 is 2644851
Number of changes on loop 159 is 2644855
Number of changes on loop 160 is 2644170
Number of changes on loop 161 is 2643771
Number of changes on loop 162 is 2642827
Number of changes on loop 163 is 2642014
Number of changes on loop 164 is 2641449
Number of changes on loop 165 is 2640786
Number of changes on loop 166 is 2640690
Number of changes on loop 167 is 2639664
Number of changes on loop 168 is 2639083
Number of changes on loop 169 is 2637955
Number of changes on loop 170 is 2637239
Number of changes on loop 171 is 2636737
Number of changes on loop 172 is 2636043
Number of changes on loop 173 is 2635510
Number of changes on loop 174 is 2635162
Number of changes on loop 175 is 2634182
Number of changes on loop 176 is 2634098
Number of changes on loop 177 is 2633121
Number of changes on loop 178 is 2632061
Number of changes on loop 179 is 2630802
Number of changes on loop 180 is 2630464
Number of changes on loop 181 is 2629903
Number of changes on loop 182 is 2629642
Number of changes on loop 183 is 2629015
Number of changes on loop 184 is 2628421
Number of changes on loop 185 is 2627699
Number of changes on loop 186 is 2626739
Number of changes on loop 187 is 2625717
Number of changes on loop 188 is 2625126
Number of changes on loop 189 is 2624869
Number of changes on loop 190 is 2624103
Number of changes on loop 191 is 2623172
Number of changes on loop 192 is 2622237
Number of changes on loop 193 is 2621353
Number of changes on loop 194 is 2620802
Number of changes on loop 195 is 2620292
Number of changes on loop 196 is 2620037
Number of changes on loop 197 is 2619129
Number of changes on loop 198 is 2618156
Number of changes on loop 199 is 2617373
Number of changes on loop 200 is 2616938
Number of changes on loop 201 is 2616526
Number of changes on loop 202 is 2615476
Number of changes on loop 203 is 2615164
Number of changes on loop 204 is 2614362
Number of changes on loop 205 is 2613575
Number of changes on loop 206 is 2612578
Number of changes on loop 207 is 2611877
Number of changes on loop 208 is 2611244
Number of changes on loop 209 is 2610359
Number of changes on loop 210 is 2610548
Number of changes on loop 211 is 2609936
Number of changes on loop 212 is 2609463
Number of changes on loop 213 is 2608251
Number of changes on loop 214 is 2606909
Number of changes on loop 215 is 2606386
Number of changes on loop 216 is 2605822
Number of changes on loop 217 is 2605475
Number of changes on loop 218 is 2604487
Number of changes on loop 219 is 2603978
Number of changes on loop 220 is 2603733
Number of changes on loop 221 is 2602921
Number of changes on loop 222 is 2602425
Number of changes on loop 223 is 2600897
Number of changes on loop 224 is 2599263
Number of changes on loop 225 is 2598691
Number of changes on loop 226 is 2598253
Number of changes on loop 227 is 2597657
Number of changes on loop 228 is 2596476
Number of changes on loop 229 is 2595523
Number of changes on loop 230 is 2594835
Number of changes on loop 231 is 2594079
Number of changes on loop 232 is 2593833
Number of changes on loop 233 is 2593353
Number of changes on loop 234 is 2592860
Number of changes on loop 235 is 2591807
Number of changes on loop 236 is 2590777
Number of changes on loop 237 is 2590266
Number of changes on loop 238 is 2589596
Number of changes on loop 239 is 2589006
Number of changes on loop 240 is 2588619
Number of changes on loop 241 is 2587441
Number of changes on loop 242 is 2586871
Number of changes on loop 243 is 2586077
Number of changes on loop 244 is 2585221
Number of changes on loop 245 is 2584903
Number of changes on loop 246 is 2583865
Number of changes on loop 247 is 2583681
Number of changes on loop 248 is 2582924
Number of changes on loop 249 is 2582123
Number of changes on loop 250 is 2581757
Number of changes on loop 251 is 2581131
Number of changes on loop 252 is 2580408
Number of changes on loop 253 is 2579903
Number of changes on loop 254 is 2578789
Number of changes on loop 255 is 2578132
Number of changes on loop 256 is 2577431
Number of changes on loop 257 is 2576622
Number of changes on loop 258 is 2575626
Number of changes on loop 259 is 2574432
Number of changes on loop 260 is 2573964
Number of changes on loop 261 is 2573652
Number of changes on loop 262 is 2573203
Number of changes on loop 263 is 2572428
Number of changes on loop 264 is 2571802
Number of changes on loop 265 is 2571053
Number of changes on loop 266 is 2570340
Number of changes on loop 267 is 2569279
Number of changes on loop 268 is 2568239
Number of changes on loop 269 is 2567823
Number of changes on loop 270 is 2567553
Number of changes on loop 271 is 2566737
Number of changes on loop 272 is 2565736
Number of changes on loop 273 is 2565218
Number of changes on loop 274 is 2563882
Number of changes on loop 275 is 2563910
Number of changes on loop 276 is 2563304
Number of changes on loop 277 is 2562286
Number of changes on loop 278 is 2561289
Number of changes on loop 279 is 2560962
Number of changes on loop 280 is 2560511
Number of changes on loop 281 is 2559801
Number of changes on loop 282 is 2559147
Number of changes on loop 283 is 2558001
Number of changes on loop 284 is 2556723
Number of changes on loop 285 is 2556123
Number of changes on loop 286 is 2555437
Number of changes on loop 287 is 2554974
Number of changes on loop 288 is 2553982
Number of changes on loop 289 is 2553668
Number of changes on loop 290 is 2552222
Number of changes on loop 291 is 2551632
Number of changes on loop 292 is 2551064
Number of changes on loop 293 is 2550606
Number of changes on loop 294 is 2550183
Number of changes on loop 295 is 2548782
Number of changes on loop 296 is 2548033
Number of changes on loop 297 is 2547542
Number of changes on loop 298 is 2546732
Number of changes on loop 299 is 2545661
Number of changes on loop 300 is 2544930
Number of changes on loop 301 is 2544299
Number of changes on loop 302 is 2543631
Number of changes on loop 303 is 2542980
Number of changes on loop 304 is 2542396
Number of changes on loop 305 is 2542197
Number of changes on loop 306 is 2541501
Number of changes on loop 307 is 2540948
Number of changes on loop 308 is 2539562
Number of changes on loop 309 is 2538664
Number of changes on loop 310 is 2538373
Number of changes on loop 311 is 2537754
Number of changes on loop 312 is 2537217
Number of changes on loop 313 is 2536546
Number of changes on loop 314 is 2535386
Number of changes on loop 315 is 2534153
Number of changes on loop 316 is 2534150
Number of changes on loop 317 is 2533061
Number of changes on loop 318 is 2532231
Number of changes on loop 319 is 2531152
Number of changes on loop 320 is 2530675
Number of changes on loop 321 is 2529944
Number of changes on loop 322 is 2528939
Number of changes on loop 323 is 2528424
Number of changes on loop 324 is 2527287
Number of changes on loop 325 is 2526315
Number of changes on loop 326 is 2525751
Number of changes on loop 327 is 2524778
Number of changes on loop 328 is 2524332
Number of changes on loop 329 is 2523994
Number of changes on loop 330 is 2523445
Number of changes on loop 331 is 2522582
Number of changes on loop 332 is 2522194
Number of changes on loop 333 is 2521738
Number of changes on loop 334 is 2520598
Number of changes on loop 335 is 2520292
Number of changes on loop 336 is 2520066
Number of changes on loop 337 is 2518586
Number of changes on loop 338 is 2517351
Number of changes on loop 339 is 2517519
Number of changes on loop 340 is 2516787
Number of changes on loop 341 is 2515506
Number of changes on loop 342 is 2514563
Number of changes on loop 343 is 2514353
Number of changes on loop 344 is 2513952
Number of changes on loop 345 is 2513574
Number of changes on loop 346 is 2512531
Number of changes on loop 347 is 2511250
Number of changes on loop 348 is 2510390
Number of changes on loop 349 is 2510061
Number of changes on loop 350 is 2508748
Number of changes on loop 351 is 2507854
Number of changes on loop 352 is 2507103
Number of changes on loop 353 is 2506560
Number of changes on loop 354 is 2506112
Number of changes on loop 355 is 2505343
Number of changes on loop 356 is 2503919
Number of changes on loop 357 is 2503362
Number of changes on loop 358 is 2502672
Number of changes on loop 359 is 2502736
Number of changes on loop 360 is 2502386
Number of changes on loop 361 is 2501458
Number of changes on loop 362 is 2499974
Number of changes on loop 363 is 2499237
Number of changes on loop 364 is 2498608
Number of changes on loop 365 is 2497998
Number of changes on loop 366 is 2496946
Number of changes on loop 367 is 2496423
Number of changes on loop 368 is 2496028
Number of changes on loop 369 is 2495369
Number of changes on loop 370 is 2494862
Number of changes on loop 371 is 2493836
Number of changes on loop 372 is 2492315
Number of changes on loop 373 is 2491160
Number of changes on loop 374 is 2490974
Number of changes on loop 375 is 2490042
Number of changes on loop 376 is 2489746
Number of changes on loop 377 is 2489038
Number of changes on loop 378 is 2488127
Number of changes on loop 379 is 2486786
Number of changes on loop 380 is 2485366
Number of changes on loop 381 is 2484338
Number of changes on loop 382 is 2483983
Number of changes on loop 383 is 2483769
Number of changes on loop 384 is 2482415
Number of changes on loop 385 is 2482295
Number of changes on loop 386 is 2482137
Number of changes on loop 387 is 2480772
Number of changes on loop 388 is 2479301
Number of changes on loop 389 is 2478818
Number of changes on loop 390 is 2478074
Number of changes on loop 391 is 2477342
Number of changes on loop 392 is 2476805
Number of changes on loop 393 is 2476147
Number of changes on loop 394 is 2475506
Number of changes on loop 395 is 2474641
Number of changes on loop 396 is 2474516
Number of changes on loop 397 is 2473356
Number of changes on loop 398 is 2472755
Number of changes on loop 399 is 2472238
Number of changes on loop 400 is 2471225
Number of changes on loop 401 is 2470047
Number of changes on loop 402 is 2469433
Number of changes on loop 403 is 2468497
Number of changes on loop 404 is 2467191
Number of changes on loop 405 is 2466691
Number of changes on loop 406 is 2466276
Number of changes on loop 407 is 2465455
Number of changes on loop 408 is 2464739
Number of changes on loop 409 is 2464620
Number of changes on loop 410 is 2463467
Number of changes on loop 411 is 2462483
Number of changes on loop 412 is 2462026
Number of changes on loop 413 is 2461049
Number of changes on loop 414 is 2460236
Number of changes on loop 415 is 2459382
Number of changes on loop 416 is 2458410
Number of changes on loop 417 is 2458221
Number of changes on loop 418 is 2457668
Number of changes on loop 419 is 2456982
Number of changes on loop 420 is 2456510
Number of changes on loop 421 is 2455946
Number of changes on loop 422 is 2454551
Number of changes on loop 423 is 2453294
Number of changes on loop 424 is 2452136
Number of changes on loop 425 is 2451746
Number of changes on loop 426 is 2451068
Number of changes on loop 427 is 2450045
Number of changes on loop 428 is 2449213
Number of changes on loop 429 is 2448885
Number of changes on loop 430 is 2447892
Number of changes on loop 431 is 2448164
Number of changes on loop 432 is 2447424
Number of changes on loop 433 is 2446338
Number of changes on loop 434 is 2444818
Number of changes on loop 435 is 2444517
Number of changes on loop 436 is 2443433
Number of changes on loop 437 is 2442679
Number of changes on loop 438 is 2441624
Number of changes on loop 439 is 2440653
Number of changes on loop 440 is 2438963
Number of changes on loop 441 is 2438465
Number of changes on loop 442 is 2437945
Number of changes on loop 443 is 2437549
Number of changes on loop 444 is 2437478
Number of changes on loop 445 is 2436056
Number of changes on loop 446 is 2435664
Number of changes on loop 447 is 2434040
Number of changes on loop 448 is 2432827
Number of changes on loop 449 is 2432723
Number of changes on loop 450 is 2432528
Number of changes on loop 451 is 2431673
Number of changes on loop 452 is 2430435
Number of changes on loop 453 is 2429291
Number of changes on loop 454 is 2428522
Number of changes on loop 455 is 2427285
Number of changes on loop 456 is 2427131
Number of changes on loop 457 is 2426266
Number of changes on loop 458 is 2424903
Number of changes on loop 459 is 2425186
Number of changes on loop 460 is 2424658
Number of changes on loop 461 is 2423216
Number of changes on loop 462 is 2422341
Number of changes on loop 463 is 2422209
Number of changes on loop 464 is 2421757
Number of changes on loop 465 is 2420496
Number of changes on loop 466 is 2419396
Number of changes on loop 467 is 2418894
Number of changes on loop 468 is 2418026
Number of changes on loop 469 is 2417056
Number of changes on loop 470 is 2416999
Number of changes on loop 471 is 2416419
Number of changes on loop 472 is 2414975
