Rho (density): 0.300000
Map width/height: 1000
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299961
Number of changes on loop 195 is 620680
Number of changes on loop 196 is 620037
Number of changes on loop 197 is 619493
Number of changes on loop 198 is 619121
Number of changes on loop 199 is 618718
Number of changes on loop 200 is 618441
Number of changes on loop 201 is 617958
Number of changes on loop 202 is 617720
Number of changes on loop 203 is 617260
Number of changes on loop 204 is 616607
Number of changes on loop 205 is 616214
Number of changes on loop 206 is 615959
Number of changes on loop 207 is 615728
Number of changes on loop 208 is 614932
Number of changes on loop 209 is 614598
Number of changes on loop 210 is 614274
Number of changes on loop 211 is 613454
Number of changes on loop 212 is 613354
Number of changes on loop 213 is 612865
Number of changes on loop 214 is 613110
Number of changes on loop 215 is 612890
Number of changes on loop 216 is 612228
Number of changes on loop 217 is 611443
Number of changes on loop 218 is 610815
Number of changes on loop 219 is 610635
Number of changes on loop 220 is 610511
Number of changes on loop 221 is 609938
Number of changes on loop 222 is 609413
Number of changes on loop 223 is 609329
Number of changes on loop 224 is 608922
Number of changes on loop 225 is 608554
Number of changes on loop 226 is 608323
Number of changes on loop 227 is 607902
Number of changes on loop 228 is 607458
Number of changes on loop 229 is 606855
Number of changes on loop 230 is 606393
Number of changes on loop 231 is 605660
Number of changes on loop 232 is 605608
Number of changes on loop 233 is 605148
Number of changes on loop 234 is 604323
Number of changes on loop 235 is 604065
Number of changes on loop 236 is 603897
Number of changes on loop 237 is 603699
Number of changes on loop 238 is 603234
Number of changes on loop 239 is 602900
Number of changes on loop 240 is 602649
Number of changes on loop 241 is 602050
Number of changes on loop 242 is 601691
Number of changes on loop 243 is 601176
Number of changes on loop 244 is 600645
Number of changes on loop 245 is 600330
Number of changes on loop 246 is 599670
Number of changes on loop 247 is 599401
Number of changes on loop 248 is 599418
Number of changes on loop 249 is 598953
Number of changes on loop 250 is 598598
Number of changes on loop 251 is 598319
Number of changes on loop 252 is 597670
Number of changes on loop 253 is 597433
Number of changes on loop 254 is 597015
Number of changes on loop 255 is 596677
Number of changes on loop 256 is 595954
Number of changes on loop 257 is 595462
Number of changes on loop 258 is 594941
Number of changes on loop 259 is 594761
Number of changes on loop 260 is 594191
Number of changes on loop 261 is 593639
Number of changes on loop 262 is 593545
Number of changes on loop 263 is 593122
Number of changes on loop 264 is 592730
Number of changes on loop 265 is 592644
Number of changes on loop 266 is 591994
Number of changes on loop 267 is 591362
Number of changes on loop 268 is 590843
Number of changes on loop 269 is 590845
Number of changes on loop 270 is 590314
Number of changes on loop 271 is 590181
Number of changes on loop 272 is 590001
Number of changes on loop 273 is 589654
Number of changes on loop 274 is 589024
Number of changes on loop 275 is 588526
Number of changes on loop 276 is 587877
Number of changes on loop 277 is 587003
Number of changes on loop 278 is 586847
Number of changes on loop 279 is 586701
Number of changes on loop 280 is 586090
Number of changes on loop 281 is 585461
Number of changes on loop 282 is 585059
Number of changes on loop 283 is 584804
Number of changes on loop 284 is 584705
Number of changes on loop 285 is 584450
Number of changes on loop 286 is 584345
Number of changes on loop 287 is 583921
Number of changes on loop 288 is 583504
Number of changes on loop 289 is 583392
Number of changes on loop 290 is 582745
Number of changes on loop 291 is 582071
Number of changes on loop 292 is 581347
Number of changes on loop 293 is 581056
Number of changes on loop 294 is 580546
Number of changes on loop 295 is 579949
Number of changes on loop 296 is 580048
Number of changes on loop 297 is 579379
Number of changes on loop 298 is 579008
Number of changes on loop 299 is 578103
Number of changes on loop 300 is 577845
Number of changes on loop 301 is 577416
Number of changes on loop 302 is 577367
Number of changes on loop 303 is 577070
Number of changes on loop 304 is 576522
Number of changes on loop 305 is 576027
Number of changes on loop 306 is 575362
Number of changes on loop 307 is 574748
Number of changes on loop 308 is 574751
Number of changes on loop 309 is 574201
Number of changes on loop 310 is 574070
Number of changes on loop 311 is 573736
Number of changes on loop 312 is 573279
Number of changes on loop 313 is 572880
Number of changes on loop 314 is 572243
Number of changes on loop 315 is 571852
Number of changes on loop 316 is 571488
Number of changes on loop 317 is 571137
Number of changes on loop 318 is 570410
Number of changes on loop 319 is 570179
Number of changes on loop 320 is 569746
Number of changes on loop 321 is 569315
Number of changes on loop 322 is 569020
Number of changes on loop 323 is 568453
Number of changes on loop 324 is 568344
Number of changes on loop 325 is 568134
Number of changes on loop 326 is 568110
Number of changes on loop 327 is 567313
Number of changes on loop 328 is 566884
Number of changes on loop 329 is 566693
Number of changes on loop 330 is 566283
Number of changes on loop 331 is 565578
Number of changes on loop 332 is 565074
Number of changes on loop 333 is 564391
Number of changes on loop 334 is 563922
Number of changes on loop 335 is 563579
Number of changes on loop 336 is 563192
Number of changes on loop 337 is 562951
Number of changes on loop 338 is 562658
Number of changes on loop 339 is 562028
Number of changes on loop 340 is 561725
Number of changes on loop 341 is 561160
Number of changes on loop 342 is 560913
Number of changes on loop 343 is 560453
Number of changes on loop 344 is 560146
Number of changes on loop 345 is 559839
Number of changes on loop 346 is 559415
Number of changes on loop 347 is 558933
Number of changes on loop 348 is 558501
Number of changes on loop 349 is 557948
Number of changes on loop 350 is 557676
Number of changes on loop 351 is 557469
Number of changes on loop 352 is 556951
Number of changes on loop 353 is 556606
Number of changes on loop 354 is 556534
Number of changes on loop 355 is 556298
Number of changes on loop 356 is 555468
Number of changes on loop 357 is 555047
Number of changes on loop 358 is 554384
Number of changes on loop 359 is 554177
Number of changes on loop 360 is 553574
Number of changes on loop 361 is 553001
Number of changes on loop 362 is 552840
Number of changes on loop 363 is 552604
Number of changes on loop 364 is 551722
Number of changes on loop 365 is 551236
Number of changes on loop 366 is 550785
Number of changes on loop 367 is 550104
Number of changes on loop 368 is 549132
Number of changes on loop 369 is 548645
Number of changes on loop 370 is 548456
Number of changes on loop 371 is 548286
Number of changes on loop 372 is 548275
Number of changes on loop 373 is 548264
Number of changes on loop 374 is 547622
Number of changes on loop 375 is 547429
Number of changes on loop 376 is 547225
Number of changes on loop 377 is 546500
Number of changes on loop 378 is 546316
Number of changes on loop 379 is 545744
Number of changes on loop 380 is 545093
Number of changes on loop 381 is 544310
Number of changes on loop 382 is 543885
Number of changes on loop 383 is 543368
Number of changes on loop 384 is 542686
Number of changes on loop 385 is 542812
Number of changes on loop 386 is 542496
Number of changes on loop 387 is 541613
Number of changes on loop 388 is 541256
Number of changes on loop 389 is 540547
Number of changes on loop 390 is 540249
Number of changes on loop 391 is 540136
Number of changes on loop 392 is 539848
Number of changes on loop 393 is 539655
Number of changes on loop 394 is 539122
Number of changes on loop 395 is 538613
Number of changes on loop 396 is 538100
Number of changes on loop 397 is 537299
Number of changes on loop 398 is 536584
Number of changes on loop 399 is 536468
Number of changes on loop 400 is 535791
Number of changes on loop 401 is 535259
Number of changes on loop 402 is 534786
Number of changes on loop 403 is 534336
Number of changes on loop 404 is 533990
Number of changes on loop 405 is 533906
Number of changes on loop 406 is 533613
Number of changes on loop 407 is 533762
Number of changes on loop 408 is 533297
Number of changes on loop 409 is 532180
Number of changes on loop 410 is 531729
Number of changes on loop 411 is 531742
Number of changes on loop 412 is 531396
Number of changes on loop 413 is 530601
Number of changes on loop 414 is 530143
Number of changes on loop 415 is 529750
Number of changes on loop 416 is 529163
Number of changes on loop 417 is 528732
Number of changes on loop 418 is 528265
Number of changes on loop 419 is 527908
Number of changes on loop 420 is 527584
Number of changes on loop 421 is 526783
Number of changes on loop 422 is 526436
Number of changes on loop 423 is 525833
Number of changes on loop 424 is 525641
Number of changes on loop 425 is 525326
Number of changes on loop 426 is 525181
Number of changes on loop 427 is 524193
Number of changes on loop 428 is 523515
