Rho (density): 0.300000
Map width/height: 2500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299893
Number of changes on loop 184 is 4143094
Number of changes on loop 185 is 4142110
Number of changes on loop 186 is 4140515
Number of changes on loop 187 is 4139649
Number of changes on loop 188 is 4138826
Number of changes on loop 189 is 4137836
Number of changes on loop 190 is 4137289
Number of changes on loop 191 is 4136313
Number of changes on loop 192 is 4136152
Number of changes on loop 193 is 4135171
Number of changes on loop 194 is 4133654
Number of changes on loop 195 is 4133108
Number of changes on loop 196 is 4132245
Number of changes on loop 197 is 4131161
Number of changes on loop 198 is 4130012
Number of changes on loop 199 is 4129822
Number of changes on loop 200 is 4128625
Number of changes on loop 201 is 4127999
Number of changes on loop 202 is 4127215
Number of changes on loop 203 is 4125985
Number of changes on loop 204 is 4125320
Number of changes on loop 205 is 4124747
Number of changes on loop 206 is 4123662
Number of changes on loop 207 is 4123155
Number of changes on loop 208 is 4122136
Number of changes on loop 209 is 4120905
Number of changes on loop 210 is 4119629
Number of changes on loop 211 is 4118927
Number of changes on loop 212 is 4118055
Number of changes on loop 213 is 4117245
Number of changes on loop 214 is 4116433
Number of changes on loop 215 is 4115662
Number of changes on loop 216 is 4115174
Number of changes on loop 217 is 4113874
Number of changes on loop 218 is 4112785
Number of changes on loop 219 is 4112240
Number of changes on loop 220 is 4110962
Number of changes on loop 221 is 4110302
Number of changes on loop 222 is 4108658
Number of changes on loop 223 is 4107854
Number of changes on loop 224 is 4107701
Number of changes on loop 225 is 4106359
Number of changes on loop 226 is 4105216
Number of changes on loop 227 is 4104781
Number of changes on loop 228 is 4104259
Number of changes on loop 229 is 4103144
Number of changes on loop 230 is 4102358
Number of changes on loop 231 is 4101671
Number of changes on loop 232 is 4100681
Number of changes on loop 233 is 4099087
Number of changes on loop 234 is 4098961
Number of changes on loop 235 is 4098091
Number of changes on loop 236 is 4096848
Number of changes on loop 237 is 4096256
Number of changes on loop 238 is 4095932
Number of changes on loop 239 is 4094566
Number of changes on loop 240 is 4092482
Number of changes on loop 241 is 4092081
Number of changes on loop 242 is 4091169
Number of changes on loop 243 is 4090334
Number of changes on loop 244 is 4089213
Number of changes on loop 245 is 4088274
Number of changes on loop 246 is 4087107
Number of changes on loop 247 is 4086341
Number of changes on loop 248 is 4085488
Number of changes on loop 249 is 4084805
Number of changes on loop 250 is 4084205
Number of changes on loop 251 is 4083228
Number of changes on loop 252 is 4082120
Number of changes on loop 253 is 4081679
Number of changes on loop 254 is 4080583
Number of changes on loop 255 is 4079135
Number of changes on loop 256 is 4078384
Number of changes on loop 257 is 4077804
Number of changes on loop 258 is 4077068
Number of changes on loop 259 is 4075982
Number of changes on loop 260 is 4075501
Number of changes on loop 261 is 4074900
Number of changes on loop 262 is 4073802
Number of changes on loop 263 is 4072374
Number of changes on loop 264 is 4071473
Number of changes on loop 265 is 4070503
Number of changes on loop 266 is 4069296
Number of changes on loop 267 is 4069172
Number of changes on loop 268 is 4068120
Number of changes on loop 269 is 4067548
Number of changes on loop 270 is 4066730
Number of changes on loop 271 is 4065480
Number of changes on loop 272 is 4064453
Number of changes on loop 273 is 4063106
Number of changes on loop 274 is 4062183
Number of changes on loop 275 is 4061386
Number of changes on loop 276 is 4060449
Number of changes on loop 277 is 4060527
Number of changes on loop 278 is 4058601
Number of changes on loop 279 is 4057527
Number of changes on loop 280 is 4057153
Number of changes on loop 281 is 4056573
Number of changes on loop 282 is 4056323
Number of changes on loop 283 is 4055108
Number of changes on loop 284 is 4054122
Number of changes on loop 285 is 4052609
Number of changes on loop 286 is 4051304
Number of changes on loop 287 is 4050067
Number of changes on loop 288 is 4049895
Number of changes on loop 289 is 4049927
Number of changes on loop 290 is 4048638
Number of changes on loop 291 is 4047455
Number of changes on loop 292 is 4045896
Number of changes on loop 293 is 4044967
Number of changes on loop 294 is 4044296
Number of changes on loop 295 is 4042907
Number of changes on loop 296 is 4041715
Number of changes on loop 297 is 4040952
Number of changes on loop 298 is 4040602
Number of changes on loop 299 is 4040209
Number of changes on loop 300 is 4038868
Number of changes on loop 301 is 4038063
Number of changes on loop 302 is 4037299
Number of changes on loop 303 is 4036718
Number of changes on loop 304 is 4035813
Number of changes on loop 305 is 4034882
Number of changes on loop 306 is 4033874
Number of changes on loop 307 is 4033387
Number of changes on loop 308 is 4032394
Number of changes on loop 309 is 4031211
Number of changes on loop 310 is 4030332
Number of changes on loop 311 is 4029184
Number of changes on loop 312 is 4027747
Number of changes on loop 313 is 4026797
Number of changes on loop 314 is 4025450
Number of changes on loop 315 is 4024271
Number of changes on loop 316 is 4022929
Number of changes on loop 317 is 4023397
Number of changes on loop 318 is 4023276
Number of changes on loop 319 is 4022028
Number of changes on loop 320 is 4020861
Number of changes on loop 321 is 4020004
Number of changes on loop 322 is 4018751
Number of changes on loop 323 is 4018497
Number of changes on loop 324 is 4017531
Number of changes on loop 325 is 4016817
